file,topic,score
Olesen-2000-Growth and physiolog.txt,3,0.8135659399
Minshall-1967-Role of Allochthonou.txt,9,0.5512912021
Masaki-1994-Spatial and Seasonal.txt,4,0.532717826
Carcaillet-2001-Change of fire frequ.txt,4,0.6990338198
Goswami-2011-Synergistic influenc.txt,6,0.9440969698
McKinley-2000-Reproductive activit.txt,3,0.8230085959
Thomas-2000-Molecular and morpho.txt,10,0.7739658001
Gaines-1976-Population-Dynamics.txt,2,0.5463304216
Witkamp-1963-Microbial-Population.txt,8,0.4722454955
Dukas-2005-Bumble bee predators.txt,5,0.7139668145
Xu-2000-Multiple gene geneal.txt,10,0.9346113303
Lowe-1965-Chronic Exposure of.txt,2,0.2687206271
Unmuth-2000-Influence of dense g.txt,3,0.5522377782
Rowe-1964-The Effect of Crowdi.txt,2,0.9269266275
Harvell-1992-Inducible Defenses a.txt,2,0.5346269239
Van De Meutter-2007-Metacommunity struct.txt,6,0.454269308
Sorte-2010-Ocean warming increa.txt,8,0.4166597582
Soudzilovskaia-2010-Similar cation excha.txt,3,0.4843202536
Geffen-1992-Daily Energy-Expendi.txt,3,0.5259912535
Ives-1995-Predicting the Respo.txt,6,0.9145372178
Sternberg-1989-Ecological Interpret.txt,3,0.4164793989
Mccoll-1967-Relationshops betwee.txt,8,0.5216821806
Mora-2005-Causes of latitudina.txt,6,0.4987657756
Chamberlain-2000-Spatial use patterns.txt,6,0.8177215721
Conant-2008-Experimental warming.txt,8,0.58941407
Yang-2008-Pulses of dead perio.txt,5,0.6855840451
Mitsch-1979-Ecosystem Dynamics a.txt,7,0.3533823241
Cottenie-2004-Metacommunity struct.txt,8,0.5983223111
Nadelhoffer-1992-Fine Root Production.txt,7,0.2775370478
Spencer-1966-Habitat Preferences.txt,9,0.4191489487
Boots-2000-Sublethal infection.txt,6,0.5020941236
De Wolf-2000-Large scale populati.txt,10,0.9409227061
Corlett-1965-Euphausids and Pelag.txt,9,0.5061487215
Christian-1984-A Life-Table Approac.txt,3,0.3167626931
Wiley-1981-Interacting Influenc.txt,5,0.499964701
Shen-2009-Species-area relatio.txt,6,0.4485738941
Anthony-1977-Feeding Strategies o.txt,7,0.4157826644
Greene-2005-The role of abscissi.txt,1,0.8865671518
Morley-1946-The Interspecific Re.txt,2,0.4732389173
Bach-1984-Plant Spatial Patter.txt,5,0.5292544174
"Lane-1986-Symmetry, Change, Pe.txt",6,0.5891879287
Nilsson-2011-Climate effects on p.txt,6,0.8428340651
van der Putten-2007-Soil feedback of exo.txt,8,0.685644869
Eccard-2000-How livestock grazin.txt,4,0.7602054504
Randerson-2000-The evolutionary dyn.txt,10,0.5289066065
Bradshaw-1995-Initiation of Metamo.txt,2,0.5870647184
Kaitala-2000-Egg load and mating.txt,5,0.5378400434
Cottam-1945-A Comparative Study.txt,4,0.8628337681
Schoener-1982-Intraspecific Variat.txt,2,0.9103905211
"Ernsting-2000-Ectotherms, temperat.txt",2,0.5473194641
Haberland-1961-Influence of Thinnin.txt,8,0.3412590881
Baskin-1979-Studies on the Autec.txt,3,0.5942746162
Aarnio-2000-Experimental evidenc.txt,5,0.8700544478
Harrod-2000-Post-fire succession.txt,4,0.9594870839
von Arx-2006-Evidence for life hi.txt,2,0.3358155775
Johnsen-1959-Longevity of Stored.txt,4,0.8239933311
Anderson-1941-Spire thickets in co.txt,4,0.9799963315
Carl-1971-Population Control i.txt,2,0.7206243499
Broughton-2000-Patterns of diversit.txt,8,0.9991360953
Fortuna-2009-The roosting spatial.txt,4,0.5733718625
Pearse-2000-Parallel evolution o.txt,10,0.8828880999
Ellison-2010-Repeatability and tr.txt,6,0.6795861842
Rasanen-2008-Geographic variation.txt,2,0.8309463979
Hanski-1983-Coexistence in a Pat.txt,2,0.3673209803
Grime-1988-Critique of the Tria.txt,6,0.3063554123
Howard-1981-Sexual Dimorphism in.txt,2,0.9986524961
Mankin-2000-An integrated approa.txt,10,0.2672871276
Hamel-2009-Individual variation.txt,2,0.7406089731
Coiro-2000-Hypoxic effects on g.txt,3,0.7458906839
Branson-1976-Moisture Relationshi.txt,3,0.7152628599
Griffin-1952-Radioactive Tagging.txt,9,0.4955461815
Anderson-2010-Landscape-scale anal.txt,8,0.3420277929
Lewis-1980-Patch Use by Gray Sq.txt,1,0.4843853594
Pigliucci-1997-Phenotypic plasticit.txt,2,0.6423467682
Schnurr-2004-Neighborhood analyse.txt,4,0.5071209914
Mateo-2000-Kin recognition and.txt,2,0.9592726814
Chapman-1958-A Field-Study of a P.txt,2,0.5052508279
Gordon-1964-The Nutrition and Gr.txt,7,0.3263423562
Saito-2000-Description of a new.txt,2,0.8038207412
Schippers-2000-Biomass partitioning.txt,3,0.5752718968
Fornoni-2000-Evolutionary ecology.txt,3,0.5876198921
Matter-2000-The importance of th.txt,6,0.6711070042
Newman-2000-Stock structure of t.txt,9,0.5905328139
Swenson-2007-The influence of spa.txt,6,0.3776834185
Davidson-1977-Foraging Ecology and.txt,1,0.605100681
Mohan-2008-Biomass and toxicity.txt,4,0.3950899767
Serrano-2003-Dispersal within a s.txt,1,0.3921379609
Kochy-2001-Nitrogen deposition.txt,4,0.4044393207
Moss-1969-Aspects of Limnology.txt,3,0.5310310176
Reid-2000-Human population gro.txt,10,0.4487255414
Andren-1992-Corvid Density and N.txt,10,0.4179904873
Moore-2008-Habitat saturation d.txt,6,0.4458221043
Thacker-1998-Allelopathic interac.txt,5,0.5381231786
Griffiths-1997-Local and regional s.txt,8,0.557479242
Morrison-1974-Vegetation and Clima.txt,4,0.8212087356
Dale-1970-System Analysis and.txt,6,0.6432892796
Woinarski-2000-Bird distribution in.txt,4,0.6094177741
Givens-1978-Dimorphic Foraging S.txt,5,0.7201002464
Swihart-1986-The Importance of St.txt,6,0.7092112134
Desy-1983-Effects of Supplemen.txt,2,0.735769483
Bucharova-2009-Introduction history.txt,1,0.3983528123
Turkington-2009-Professor John L. Ha.txt,5,0.3757847851
Vose-1968-Wind as a Factor in.txt,4,0.3948121634
Hassell-1985-Insect Natural Enemi.txt,6,0.6797246344
Aldridge-2000-The impacts of dredg.txt,9,0.3122841433
Haufe-1956-Development of Aedes.txt,3,0.9938720685
Hobbs-1954-Ecology of Species o.txt,4,0.661926999
Spencer-2006-Sensitivity analysis.txt,6,0.9765742701
Howes-1985-Annual Carbon Minera.txt,9,0.8922730001
Schallmach-2000-Culture-independent.txt,8,0.375040702
Bouskila-1995-Interactions between.txt,5,0.73712768
Webb-1955-Erica-Mackaiana Bab.txt,4,0.7655260305
Pearce-2000-Evaluating the predi.txt,6,0.990213867
Blackburn-2005-Functional diversity.txt,1,0.2849199521
Evans-2000-The effects of testo.txt,2,0.6996170959
Barta-2000-Daily patterns of op.txt,1,0.484291426
Ingram-2009-Trait-based assembly.txt,8,0.5440519985
Willis-1963-Braunton-Burrows - t.txt,7,0.5441375629
Strohecker-1937-A survey of soil tem.txt,3,0.3338158608
Smiley-1986-Ant Constancy at Pas.txt,5,0.9242783481
Benedetti-Cecchi-2003-The importance of th.txt,6,0.6183509616
Lombardero-2000-Environmental effect.txt,4,0.365546065
Hillebrand-2008-Consequences of domi.txt,8,0.8964978246
Equihua-1990-Fuzzy Clustering of.txt,6,0.5884033381
Hartt-1940-Preliminary ecologic.txt,4,0.7891199738
Nicolai-2012-Are there trade-offs.txt,6,0.689681369
Ericsson-2001-Age-related reproduc.txt,2,0.8167044647
Bird-1957-The Use of the Soil.txt,4,0.7271948862
MacKenzie-2005-Improving inferences.txt,6,0.9409250022
Sork-1983-Mammalian Seed Dispe.txt,4,0.47123531
Maron-2001-Rodent-limited estab.txt,4,0.3063951607
Humphrey-2000-Effects of late summ.txt,4,0.6404575842
Flory-1936-Comparison of the en.txt,3,0.5656746178
Seastedt-2001-Effects of mobile tr.txt,4,0.4870605045
Hanson-1955-Characteristics of t.txt,8,0.5234931807
Efford-1965-Ecology of the Water.txt,5,0.3569952866
Winn-1959-Differential Food Se.txt,5,0.6261744589
Tank-2008-Are Rivers Just Big.txt,7,0.5338930513
Effenberger-2011-Patchy bed disturban.txt,5,0.4865053637
Anderson-2001-Predator responses.txt,5,0.5157241165
Birks-2000-Future uses of polle.txt,4,0.7338214493
Langlois-2005-Reef-associated pred.txt,6,0.3813388754
Schwartzkopf-1978-Open Chamber Techniq.txt,3,0.3857324371
Lewis-1976-Applications of Disc.txt,6,0.7196552159
Mcart-2009-Summer dietary nitro.txt,3,0.4096179624
Ho-2000-Chondracanthid copep.txt,2,0.359533227
Hamerlynck-2000-Effects of extreme h.txt,3,0.999032061
Brown-2000-Summer habitat use b.txt,1,0.5526210246
Beck-2007-Beta-diversity of ge.txt,6,0.5457860661
Gryta-2000-Population dynamics.txt,10,0.7095216082
Willmer-1986-Foraging Patterns an.txt,3,0.6892859365
Nel-2000-Foraging ecology of.txt,6,0.4513515066
Webb-1978-Primary Productivity.txt,3,0.5131715031
Thorne-2000-Opinion - Response t.txt,2,0.9756693705
Oli-2001-Effect of density re.txt,6,0.6531818685
Bonsall-2002-Metapopulation struc.txt,6,0.7091228916
Burdon-2000-Coevolution at multi.txt,5,0.3691293855
Riginos-2009-Grass competition su.txt,4,0.7597470989
Maurya-1973-Significance of Seed.txt,4,0.5540224399
Fischer-2000-Sex-related differen.txt,2,0.8392938717
Aronson-2010-Methane flux in non-.txt,8,0.4820650923
Hibbs-1980-Habitat Requirements.txt,4,0.9209443953
Loehle-2000-Strategy space and t.txt,4,0.5453900601
Brown-1985-Variation in Aphid W.txt,4,0.4694387849
Vellend-2004-Parallel effects of.txt,8,0.4976536474
Wells-1976-Biological Flora of.txt,4,0.6957407695
Breitburg-1984-Residual Effects of.txt,6,0.3220686353
Suter-2000-Sanctuary in Nigeria.txt,4,0.5095537047
Parsons-1976-Effects of Hatching.txt,2,0.9077134682
Heithaus-1974-Bat Activity and Pol.txt,2,0.5094422303
Spiller-1989-Effect of a Major Pr.txt,2,0.6354776067
"HilleRisLambers-2009-CO2, nitrogen, and d.txt",8,0.6251156463
Robertson-2001-A long-term study of.txt,2,0.8565363117
Griffin-1964-Isolated Pinus Ponde.txt,4,0.79904082
Fay-1996-Plant tolerance of g.txt,3,0.6782509878
Becker-1975-Island Colonization.txt,4,0.3174316712
Arenas-2006-The invasibility of.txt,8,0.7245856548
Zahl-1977-Jackknifing an Index.txt,6,0.5674780893
Gorozhankina-2000-Experience in establ.txt,8,0.4371545295
"Strassmann-1981-Parasitoids, Predato.txt",6,0.374686758
Davies-2012-Incompletely resolve.txt,10,0.4028404425
Vanderbijl-1989-Photosynthesis and C.txt,9,0.6610182455
Gray-1966-Response of Protodri.txt,9,0.5649681553
Trexler-1992-Effects of Habitat a.txt,2,0.8911144821
Devos-1964-Transmitterreceiver.txt,3,0.5143320672
Bullock-1977-Comparative Experime.txt,1,0.8264497517
Wijk-1986-Performance of Salix.txt,3,0.4353794147
Fagan-1994-Hatch Density Variat.txt,5,0.9265695764
Peterson-1993-Biological Responses.txt,7,0.5047961484
Davy-1984-Response of Hieraciu.txt,7,0.6807143244
Smith-1949-The Relation of Flig.txt,2,0.9149152236
Schofield-2009-Microhabitat selecti.txt,3,0.5484642851
Mcintire-2002-Grazing history vers.txt,3,0.8716676418
Fordham-1970-Field Populations of.txt,7,0.54734249
Bliss-1960-Transpiration Rates.txt,3,0.8957324943
Stewart-2000-Baited technique imp.txt,9,0.4319371661
Kim-2000-Dispersal behaviour.txt,1,0.414510613
Lutz-1970-Some Ecological Fact.txt,2,0.458709956
Okusanya-1979-Experimental Investi.txt,3,0.9357486114
Greenstreet-1996-Fishing and the grou.txt,6,0.6444620053
Penney-1969-Diapause and Reprodu.txt,2,0.4245480348
Chapman-1991-Population-Dynamics.txt,2,0.6015466646
Hatcher-2000-On integrating molec.txt,5,0.8621603028
Strohecker-1936-Camel-cricketsEcolog.txt,4,0.5593953427
Beatley-1974-Effects of Rainfall.txt,3,0.5820683845
Cavers-1967-Studies in Dynamics.txt,4,0.506933421
Hook-1994-Spatial Patterns of.txt,8,0.419277741
Anderson-1964-Studies of the Woodl.txt,3,0.9370438755
Enright-1969-Zooplankton Grazing.txt,9,0.4416112961
Sano-2000-Stability of reef fi.txt,9,0.8325887573
Muller-1982-Vegetation Patterns.txt,4,0.4840577019
Barnes-1974-Some Autecological S.txt,3,0.8593007913
De Kovel-2000-Carbon and nitrogen.txt,8,0.5703923433
Alexander-2007-Is there reduction i.txt,6,0.2592789451
Coma-2000-Seasonality in coast.txt,9,0.554843841
Barrett-1967-Effects of Thermal H.txt,3,0.8279576973
Rivera-Hutinel-2012-Effects of sampling.txt,8,0.7864873273
Powell-2000-Assessing representa.txt,10,0.6248214241
Dewalt-2000-Density and diversit.txt,4,0.8477381966
Schiel-2004-Ten years of induced.txt,6,0.2961543533
Connolly-2010-Estimating dispersal.txt,6,0.5327215139
Nilsen-1983-Diurnal and Seasonal.txt,3,0.9993346924
Mccullough-1979-Seston Removal by Fi.txt,6,0.5150713261
Shima-2010-Life history and mat.txt,6,0.4817193024
"Rojas-2000-Composition, diversi.txt",8,0.7861131293
Shine-2002-Some like it hot_ Ef.txt,3,0.3974430115
Congdon-2000-Mechanisms of popula.txt,10,0.8356799167
Vesk-2006-Plant size and respr.txt,4,0.7124391676
Chapin-1981-Ecotypic Differentia.txt,3,0.5947361063
Hannon-1989-A Seasonal Analysis.txt,9,0.6351646313
Rupp-2000-A frame-based spatia.txt,4,0.4482071575
Zhu-2000-Polymorphic microsat.txt,10,0.9997785045
Briggs-2000-The effect of disper.txt,5,0.4610947104
Biere-1995-Genotypic and Plasti.txt,2,0.6663284269
Bird-2000-The impact of waterf.txt,8,0.532178377
Sowter-1949-Arum-Maculatum L.txt,4,0.6761223948
Vavrek-1996-Within-population va.txt,10,0.7749741158
Craine-2005-Reconciling plant st.txt,8,0.341525611
Mcnaught.Sj-1974-Developmental Contro.txt,3,0.8628802566
Holt-1995-Vegetation Dynamics.txt,1,0.4805811153
Persson-2006-Linking patch-use be.txt,5,0.3766249255
Ozgul-2006-Effects of patch qua.txt,6,0.7680854627
Channell-2000-Trajectories to exti.txt,6,0.8775782378
Saunier-1967-Factors Affecting Di.txt,4,0.8666646725
Osterhaus-2000-Influenza B virus in.txt,10,0.7054099921
Hughes-1992-Genotype Environment.txt,2,0.5558560097
Kay-2002-Applying optimal for.txt,7,0.4089848304
Grimm-1988-Role of Macroinverte.txt,7,0.6080617263
Taylor-1967-A Mathematical Model.txt,6,0.801597575
Crist-2000-Assessing land-use i.txt,10,0.5747222226
Fitze-2004-Long-term life-histo.txt,2,0.9208220058
Kimura-2000-Up-estuary dispersal.txt,1,0.3636058594
Lattanzi-2012-C-13-labeling shows.txt,3,0.5878699466
Blackburn-1991-A Comparative-Examin.txt,2,0.7851441288
Toetz-1974-Uptake and Transloca.txt,7,0.4274953148
Blasco-2000-A framework for the.txt,4,0.9506792484
Pepper-1938-The effect of certai.txt,3,0.5620342658
Aase-1972-Energy Balance Inves.txt,3,0.6332715232
Geffen-2000-Old endemics and new.txt,2,0.6858575977
Gibb-2011-Field tests of inter.txt,5,0.3252063701
Wilson-2002-Large-scale patterns.txt,1,0.4510645475
Gyllenbe.G-1974-Simulation-Model for.txt,6,0.3597635162
Germaine-2000-Distribution and pop.txt,4,0.3003687616
Walsberg-1978-Brood Size and Use o.txt,7,0.5653791034
Cornell-1992-Species Interactions.txt,8,0.5900960155
Wiebe-2010-Negotiation of paren.txt,2,0.9035439129
Haslam-1972-Phragmites-Communis.txt,4,0.5047006757
Marsh-1970-Primary Productivity.txt,9,0.9975995522
Kucera-1954-Some Relationships o.txt,3,0.7948617281
Wilson-1989-Relations between Na.txt,1,0.5324445329
Falik-2003-Self_non-self discri.txt,4,0.3586689179
Vadas-2000-Habitat use of fish.txt,2,0.333899008
Jeffers-2011-Abrupt environmental.txt,6,0.5264168609
Reed-1958-Altitudinal Distribu.txt,9,0.4547380141
Hulbert-1966-Glass B - Science an.txt,10,0.8417663824
Tanner-1980-Litterfall in Montan.txt,4,0.7525730661
Brian-1979-Habitat Differences.txt,2,0.6533554922
Fukamachi-2000-Changes in landscape.txt,10,0.5358318949
Martinez-Vilalta-2010-Interspecific variat.txt,6,0.3169457813
Elton-1935-A reconnaissance of.txt,4,0.8689631999
Barbier-2008-Spatial decoupling o.txt,8,0.4944993272
Chave-2003-Spatial and temporal.txt,4,0.6790583268
Forseth-1984-Field Water Relation.txt,3,0.9984820502
Bianchi-2000-Breakdown of phytopl.txt,9,0.9372519948
Kenkel-1993-Modeling Markovian D.txt,1,0.3837117733
Huhta-2000-A test of the compen.txt,5,0.4541135774
Smartt-1974-Investigations into.txt,8,0.4802648428
Anderson-1971-Natural Mortality of.txt,2,0.5213958041
Dingemanse-2007-Behavioural syndrome.txt,2,0.6568607521
Voss-1939-Forests of the Yarmo.txt,4,0.5459829507
Kay-1970-Biological Flora of.txt,4,0.6198120573
Campbell-1993-Resource and Pollen.txt,1,0.487490755
Kenny-1991-Are Food Webs Random.txt,7,0.5810078979
Turchin-2000-Living on the edge o.txt,6,0.9753313703
Stanley-1941-A mathematical theor.txt,2,0.4037982203
Hochberg-1992-A Modeling Study of.txt,6,0.7125950188
Aiba-1996-Tree species stratif.txt,4,0.5944120444
Murphy-2000-Mating preference fu.txt,2,0.7163527516
Findlay-2010-Can ocean acidificat.txt,6,0.6191824486
Aljetlawi-2000-Effect of food and s.txt,9,0.5116386996
Cooke-1961-Pollution Effects on.txt,9,0.4078460418
Provencher-2000-Restoration of north.txt,4,0.7011322745
Chambers-1982-2 Radiocarbon-Dated.txt,4,0.4433641888
Pears-1967-Present Tree-Lines o.txt,4,0.7167825475
Ahmadshah-1989-Influence of Tree Ca.txt,4,0.4835582746
Jiang-2009-Species diversity an.txt,8,0.8196013659
Jackson-1970-Effects of Host Figh.txt,5,0.4759390443
Tremmel-1995-Plant Architecture a.txt,3,0.7130950548
Murtaugh-2002-On rejection rates o.txt,6,0.7489375212
Elliott-1990-Mechanisms Responsib.txt,2,0.7018336507
Reinartz-1984-Life-History Variati.txt,2,0.5938277889
Philip-1957-Sociality and Sparse.txt,6,0.6592102783
Gashwile.Js-1970-Further Study of Con.txt,4,0.5193722752
Gronroos-2012-Species richness at.txt,8,0.6331539453
Gosline-1965-Vertical Zonation of.txt,9,0.6887821927
Perez-Salicrup-2000-Effect of liana cutt.txt,4,0.5473209009
Kapfer-2011-Fine-scale changes i.txt,8,0.5774007789
van der Waal-2011-Scale of nutrient pa.txt,4,0.5738500107
Gorlov-2000-Staggered clines in.txt,10,0.5660070692
Flanagin-2000-Effects of growth ra.txt,7,0.6084638306
Begun-2000-Genetics of alpha-am.txt,10,0.8055641094
Merila-1997-Mass loss in breedin.txt,2,0.5950429314
Nielsen-2000-Thermodynamics of an.txt,7,0.5455752667
Millar-2005-Fitting nonlinear en.txt,6,0.9356977789
Crandall-2000-The monophyletic ori.txt,10,0.6164037122
Hobbie-2000-Correlations between.txt,8,0.5083069044
Pagel-2000-Statistical analysis.txt,3,0.4799320169
Cheney-1983-Factors Controlling.txt,9,0.5405023617
Harper-1966-Behaviour of Seeds i.txt,3,0.5762713911
Gazey-1986-Population Estimatio.txt,6,0.7837833403
Rossi-2000-Nature and landscape.txt,10,0.3949209008
Caswell-1983-Reanalysis of Caswel.txt,6,0.6884599511
Wilmer-2000-Patterns of paternal.txt,2,0.4033373415
Saikkonen-1998-Interactive effects.txt,3,0.591566553
Arim-2005-Productivity and foo.txt,7,0.2893193669
Brown-1994-A Survey of Ultravio.txt,9,0.5367765447
White-2000-Leaf surface waxbloo.txt,5,0.9638290665
Greenberg-2008-Agroforests as model.txt,4,0.4229126744
Seppanen-2007-Social information u.txt,10,0.390986523
Vaughton-1998-Sources and conseque.txt,1,0.660025742
O'connor-2005-Biodiversity loss an.txt,8,0.7105515705
Pickles-1944-Territories and Inte.txt,1,0.7383327218
Jordan-1975-Effects of Zinc Smel.txt,4,0.6260451184
Klaassen-2007-Prior knowledge abou.txt,1,0.706958533
Fleming-2000-Aerial baiting of fe.txt,2,0.4414608997
Wright-2003-Local vs. landscape.txt,8,0.7202788645
Harper-1950-Algae on Animals - a.txt,4,0.8733177816
Ruiz-Campos-2000-Threatened fishes of.txt,6,0.5491376508
Tamarin-1977-Dispersal in Island.txt,2,0.3969171965
Clark-2005-Comparative seed sha.txt,1,0.7290273783
Predavec-2000-Food limitation in A.txt,7,0.6278136291
Cheplick-1988-Subterranean Seed Pr.txt,4,0.6093987492
Nefdt-1996-Regulation of seed a.txt,2,0.4468451048
Simon-1985-Thermal Adaptation a.txt,3,0.7112509752
Esteves-2000-Comparison of RNA_DN.txt,10,0.7333318636
Trexler-1993-Nontraditional Regre.txt,6,0.7622198976
Roberts-1968-Oxygen Consumption i.txt,3,0.4365942158
Kalacheva-2000-Chemical composition.txt,7,0.4933690015
Zupo-2000-Effect of microalgal.txt,2,0.7094204699
Hanks-1993-Natural Enemies and.txt,4,0.4772355553
Dougherty-1996-Response of a grassl.txt,3,0.5246200383
Erickson-2000-An artificial landsc.txt,3,0.4211113925
Casper-2008-Plant-soil feedback_.txt,8,0.9407627453
Eriksson-2000-Population dynamics.txt,6,0.5956440544
Harcourt-2000-Three-dimensional di.txt,9,0.3779781739
Farrant-2000-A comparison of mech.txt,3,0.9242066358
Saether-2007-The extended Moran e.txt,6,0.9991052044
Corona-2000-Epibenthic amphipod.txt,5,0.8163752034
Ballhorn-2011-Genetic and environm.txt,3,0.685467084
West-1996-Influence of arbuscu.txt,5,0.4570398492
Fraser-2000-Genetic influence on.txt,2,0.6528334742
Soule-2000-Sir Otto Frankel_ Me.txt,10,0.9928545937
de Visser-2011-The Serengeti food w.txt,7,0.5103391901
Naeem-1990-Patterns of the Dist.txt,2,0.4997943863
Mcalister-1995-Species Interactions.txt,4,0.3968932595
Muir-1959-The Ant-Aphid-Plant.txt,5,0.9194594529
Hagenaars-2000-Feed-borne transmiss.txt,6,0.8307338323
Hakanson-2000-The role of characte.txt,6,0.6801096607
Gaston-2000-Abundance-occupancy.txt,6,0.7977840447
Cushing-1998-Moving toward an uns.txt,6,0.9972554749
Kavanau-1969-Influences of Light.txt,9,0.6406154276
Cameron-2004-Stage-structured har.txt,6,0.7139885049
"Kendall-2000-Dispersal, environme.txt",6,0.8493394214
Radford-2003-Bill dimorphism and.txt,2,0.4739529913
Swanson-2003-Trophic polymorphism.txt,2,0.5303069744
Chon-2000-Determining temporal.txt,6,0.7985065922
Kleiman-2007-The leaf size_number.txt,3,0.4678746416
Miller-1968-Conditions of Compet.txt,2,0.5243407671
Tutin-1953-The Vegetation of th.txt,4,0.9243642974
Shantz-1954-The Place of Grassla.txt,4,0.9938763869
Solomon-1968-Logarithmic Regressi.txt,6,0.531024075
Mooney-2008-Tritrophic effects o.txt,6,0.5279998908
Keen-1982-Habitat Selection an.txt,2,0.6359778097
Cantor-1989-Importance of Belowg.txt,4,0.6047201536
Kareiva-1994-Space - the Final Fr.txt,1,0.4477700341
Davis-1945-The Effect of Popula.txt,2,0.8963801016
Lingjaerde-2001-Exploring the densit.txt,6,0.8672373943
Hulburt-1983-The Unpredictability.txt,9,0.5819541822
Adams-1957-Observations on the.txt,4,0.996456023
Davis-2000-Restoring savanna us.txt,4,0.7250166985
Lampert-1993-Phenotypic Plasticit.txt,2,0.8955429418
Sibly-1983-The Distribution bet.txt,7,0.3965406641
Salvo-2004-Looks are important_.txt,5,0.337420308
Koenig-2000-Patterns of annual s.txt,6,0.5010346317
Weber-1949-The Functional Signi.txt,4,0.5883356241
Wiklund-2009-The evolutionary eco.txt,5,0.9430217976
Hosseini-2006-Spatial spread of an.txt,6,0.8174448227
Sinclair-1985-On Tests of Spatial.txt,6,0.9881546581
Ronce-2000-Kin selection and na.txt,1,0.3924880051
Mountfor.Md-1968-Significance of Litt.txt,2,0.8735418848
Bi-2000-Estimating the self-.txt,6,0.5434498044
Marsh-2000-The role of Equisetu.txt,8,0.4639126156
Lack-1955-The Food of the Swif.txt,7,0.5193569633
Whigham-2000-Induction of a marsu.txt,6,0.8184563736
Gruebler-2008-Fitness Consequences.txt,2,0.4650100143
Finn-1980-Flow-Analysis of Mod.txt,7,0.6795991439
Barrass-1963-The Burrows of Ocypo.txt,2,0.6757299715
Moore-2007-Determinants of seed.txt,1,0.464169533
Flint-1984-Partial Inhibition o.txt,9,0.3865384811
Reichling-2000-A new species of tar.txt,4,0.6635549184
Karplus-1952-Bird Activity in the.txt,3,0.7070543151
Ohsawa-1990-An Interpretation of.txt,4,0.5789872209
Hubalek-1978-Coincidence of Funga.txt,6,0.573225665
Matthaei-2000-Long-term effects of.txt,6,0.3417258728
Davy-2006-Biological flora of.txt,3,0.3021151729
Heatwole-1961-Inhibition of Digita.txt,8,0.4894591818
