"","author","year","file","titles","periodical","volume","number"
"1477","Armbruster",1994,"Armbruster-1994-Floral Character Dis.txt","Floral Character Displacement Generates Assemblage Structure of Western-Australian Triggerplants (Stylidium)EcologyEcology","Ecology","75","2"
"1478","Dinerstein",1988,"Dinerstein-1988-Fruits Rhinoceros Ea.txt","Fruits Rhinoceros Eat - Dispersal of Trewia-Nudiflora (Euphorbiaceae) in Lowland NepalEcologyEcology","Ecology","69","6"
"1479","Ives",1939,"Ives-1939-Infra-red photograph.txt","Infra-red photography as an aid in ecological surveysEcologyEcology","Ecology","20","3"
"1480","Comita",2009,"Comita-2009-Local neighborhood a.txt","Local neighborhood and species' shade tolerance influence survival in a diverse seedling bankEcologyEcology","Ecology","90","2"
"1481","Beadle",1954,"Beadle-1954-Soil Phosphate and t.txt","Soil Phosphate and the Delimitation of Plant Communities in Eastern AustraliaEcologyEcology","Ecology","35","3"
"1483","Jackson",1995,"Jackson-1995-Bootstrapping Princi.txt","Bootstrapping Principal Components-Analysis - ReplyEcologyEcology","Ecology","76","2"
"1484","Ballinger",1979,"Ballinger-1979-Intraspecific Variat.txt","Intraspecific Variation in Demography and Life-History of the Lizard, Sceloporus-Jarrovi, Along an Altitudinal Gradient in Southeastern ArizonaEcologyEcology","Ecology","60","5"
"1485","Hamilton",2003,"Hamilton-2003-Group foraging by a.txt","Group foraging by a kleptoparasitic fish: A strong inference test of social foraging modelsEcologyEcology","Ecology","84","12"
"1486","Allard",1945,"Allard-1945-Flowering Behavior a.txt","Flowering Behavior and Natural Distribution of the Eastern Ragweeds (Ambrosia) as Affected by Length of DayEcologyEcology","Ecology","26","4"
"1487","Kareiva",1994,"Kareiva-1994-Ecological Theory an.txt","Ecological Theory and Endangered SpeciesEcologyEcology","Ecology","75","3"
"1488","Getz",1962,"Getz-1962-Water-Balance of Red.txt","Water-Balance of Redback VoleEcologyEcology","Ecology","43","3"
"1489","Connor",2000,"Connor-2000-Individuals-area rel.txt","Individuals-area relationships: The relationship between animal population density and areaEcologyEcology","Ecology","81","3"
"1490","Alexander",1997,"Alexander-1997-Application of mark-.txt","Application of mark-recapture models to estimation of the population size of plantsEcologyEcology","Ecology","78","4"
"1491","Abrams",2004,"Abrams-2004-Trait-initiated indi.txt","Trait-initiated indirect effects due to changes in consumption rates in simple food websEcologyEcology","Ecology","85","4"
"1492","Buell",1957,"Buell-1957-Fir-Spruce-Birch For.txt","Fir-Spruce-Birch Forest in Northern MinnesotaEcologyEcology","Ecology","38","4"
"1493","Buell",1961,"Buell-1961-Competition between.txt","Competition between Maple-Basswood and Fir-Spruce Communities in Itasca Park, MinnesotaEcologyEcology","Ecology","42","2"
"1494","Buell",1951,"Buell-1951-A Study of 2 Forest.txt","A Study of 2 Forest Stands in Minnesota with an Interpretation of the Prairie-Forest MarginEcologyEcology","Ecology","32","2"
"1495","Vanni",1990,"Vanni-1990-Trophic Cascades and.txt","Trophic Cascades and Phytoplankton Community StructureEcologyEcology","Ecology","71","3"
"1496","Campbell",1996,"Campbell-1996-Mechanisms of hummin.txt","Mechanisms of hummingbird-mediated selection for flower width in Ipomopsis aggregataEcologyEcology","Ecology","77","5"
"1497","Ashman",1991,"Ashman-1991-Seasonal-Variation i.txt","Seasonal-Variation in Pollination Dynamics of Sexually Dimorphic Sidalcea-Oregana Ssp Spicata (Malvaceae)EcologyEcology","Ecology","72","3"
"1498","Abramsky",1982,"Abramsky-1982-Competition and the.txt","Competition and the Role of Habitat Selection in Gerbillus-Allenbyi and Meriones-Tristrami - a Removal ExperimentEcologyEcology","Ecology","63","5"
"1499","Forsythe",1972,"Forsythe-1972-Transformation for S.txt","Transformation for Species Response to Habitat FactorsEcologyEcology","Ecology","53","6"
"1500","Hoffman",2004,"Hoffman-2004-Scaling of the teneb.txt","Scaling of the tenebrionid beetle community and its environment on the Colorado shortgrass steppeEcologyEcology","Ecology","85","3"
"1501","Gebauer",2000,"Gebauer-2000-Water and nitrogen u.txt","Water and nitrogen uptake patterns following moisture pulses in a cold desert communityEcologyEcology","Ecology","81","5"
"1502","Hay",1981,"Hay-1981-Seed Escape from Het.txt","Seed Escape from Heteromyid Rodents - the Importance of Microhabitat and Seed PreferenceEcologyEcology","Ecology","62","5"
"1503","Fast",1974,"Fast-1974-Closed-Interval Frac.txt","Closed-Interval Fractionator for Sediment CoresEcologyEcology","Ecology","55","1"
"1504","Gilinsky",1984,"Gilinsky-1984-The Role of Fish Pre.txt","The Role of Fish Predation and Spatial Heterogeneity in Determining Benthic Community StructureEcologyEcology","Ecology","65","2"
"1505","Brinson",1977,"Brinson-1977-Decomposition and Nu.txt","Decomposition and Nutrient Exchange of Litter in an Alluvial Swamp ForestEcologyEcology","Ecology","58","3"
"1506","Case",1978,"Case-1978-General Explanation.txt","General Explanation for Insular Body Size Trends in Terrestrial VertebratesEcologyEcology","Ecology","59","1"
"1507","Ayarbe",2000,"Ayarbe-2000-Mammal mounds stimul.txt","Mammal mounds stimulate microbial activity in a semiarid shrublandEcologyEcology","Ecology","81","4"
"1508","Ayala",1967,"Ayala-1967-Dynamics of Populati.txt","Dynamics of Populations .2. Factors Controlling Population Growth and Population Size in Drosophila Pseudoobscura and in Drosophila MelanogasterEcologyEcology","Ecology","48","1"
"1509","Doucett",2007,"Doucett-2007-Measuring terrestria.txt","Measuring terrestrial subsidies to aquatic food webs using stable isotopes of hydrogenEcologyEcology","Ecology","88","6"
"1510","Allen",1977,"Allen-1977-Multiple Stable Conf.txt","Multiple Stable Configurations in Ordination of Phytoplankton Community Change RatesEcologyEcology","Ecology","58","5"
"1511","Conway",1970,"Conway-1970-Fitting Nonlinear Mo.txt","Fitting Nonlinear Models to Biological Data by Marquardts AlgorithmEcologyEcology","Ecology","51","3"
"1512","Burcher",2007,"Burcher-2007-The land-cover casca.txt","The land-cover cascade: Relationships coupling land and waterEcologyEcology","Ecology","88","1"
"1513","Addicott",1974,"Addicott-1974-Predation and Prey C.txt","Predation and Prey Community Structure - Experimental Study of Effect of Mosquito Larvae on Protozoan Communities of Pitcher PlantsEcologyEcology","Ecology","55","3"
"1514","Fuller",1936,"Fuller-1936-Advancing desertsEco.txt","Advancing desertsEcologyEcology","Ecology","17","1"
"1515","Chew",1955,"Chew-1955-The Skin and Respira.txt","The Skin and Respiratory Water Losses of Peromyscus-Maniculatus-SonoriensisEcologyEcology","Ecology","36","3"
"1516","Burns",2005,"Burns-2005-A prescription for l.txt","A prescription for longer life? Bot fly parasitism of the white-footed mouseEcologyEcology","Ecology","86","3"
"1517","Barot",1999,"Barot-1999-Demography of a sava.txt","Demography of a savanna palm tree: Predictions from comprehensive spatial pattern analysesEcologyEcology","Ecology","80","6"
"1518","Bowlby",1986,"Bowlby-1986-Trophic Structure in.txt","Trophic Structure in Southern Ontario StreamsEcologyEcology","Ecology","67","6"
"1519","Anderson",1993,"Anderson-1993-Prey Size Influences.txt","Prey Size Influences Female Competitive Dominance in Nestling American Kestrels (Falco-Sparverius)EcologyEcology","Ecology","74","2"
"1520","Holzapfel",2002,"Holzapfel-2002-Protandry_ The relat.txt","Protandry: The relationship between emergence time and male fitness in the pitcher-plant mosquitoEcologyEcology","Ecology","83","3"
"1521","Bowers",1993,"Bowers-1993-Effects of Plant-Age.txt","Effects of Plant-Age, Genotype, and Herbivory on Plantago Performance and ChemistryEcologyEcology","Ecology","74","6"
"1522","Alexander",1951,"Alexander-1951-The Occurrence of Or.txt","The Occurrence of Orthoptera at High Altitudes, with Special Reference to Colorado AcrididaeEcologyEcology","Ecology","32","1"
"1523","Connor",1983,"Connor-1983-Leafminers on Oak -.txt","Leafminers on Oak - the Role of Immigration and Insitu Reproductive RecruitmentEcologyEcology","Ecology","64","1"
"1524","Dobkin",1985,"Dobkin-1985-Heterogeneity of Tro.txt","Heterogeneity of Tropical Floral Microclimates and the Response of Hummingbird Flower MitesEcologyEcology","Ecology","66","2"
"1525","Boulay",2010,"Boulay-2010-Intraspecific compet.txt","Intraspecific competition affects population size and resource allocation in an ant dispersing by colony fissionEcologyEcology","Ecology","91","11"
"1526","Bakker",1997,"Bakker-1997-Parasite-induced cha.txt","Parasite-induced changes in behavior and color make Gammarus pulex more prone to fish predationEcologyEcology","Ecology","78","4"
"1527","Bertness",1994,"Bertness-1994-Cooperative and Comp.txt","Cooperative and Competitive Interactions in the Recruitment of Marsh EldersEcologyEcology","Ecology","75","8"
"1528","Carlo",2005,"Carlo-2005-Interspecific neighb.txt","Interspecific neighbors change seed dispersal pattern of an avian-dispersed plantEcologyEcology","Ecology","86","9"
"1530","Burnison",1974,"Burnison-1974-Simple Method for Dr.txt","Simple Method for Dry Combustion of C-14-Labeled MaterialsEcologyEcology","Ecology","55","4"
"1532","Moraes",2009,"Moraes-2009-Long-term persistenc.txt","Long-term persistence of a Neotropical ant-plant population in the absence of obligate plant-antsEcologyEcology","Ecology","90","9"
"1533","Allee",1949,"Allee-1949-Group Survival Value.txt","Group Survival Value for Philodina-Roseola, a RotiferEcologyEcology","Ecology","30","3"
"1534","Evans",1950,"Evans-1950-Relative Abundance o.txt","Relative Abundance of Species and the Pyramid of NumbersEcologyEcology","Ecology","31","4"
"1535","Bookhout",1958,"Bookhout-1958-The Availability of.txt","The Availability of Plant Seeds to Bobwhite Quail in Southern IllinoisEcologyEcology","Ecology","39","4"
"1536","Gimenez",2010,"Gimenez-2010-Relationships betwee.txt","Relationships between habitat conditions, larval traits, and juvenile performance in a marine invertebrateEcologyEcology","Ecology","91","5"
"1537","Drever",2009,"Drever-2009-Species-energy theor.txt","Species-energy theory, pulsed resources, and regulation of avian richness during a mountain pine beetle outbreakEcologyEcology","Ecology","90","4"
"1538","Campbell",1993,"Campbell-1993-Resource and Pollen.txt","Resource and Pollen Limitations to Lifetime Seed Production in a Natural Plant-PopulationEcologyEcology","Ecology","74","4"
"1539","Ashman",2002,"Ashman-2002-The role of herbivor.txt","The role of herbivores in the evolution of separate sexes from hermaphroditismEcologyEcology","Ecology","83","5"
"1540","Kasumovic",2009,"Kasumovic-2009-Evidence for develop.txt","Evidence for developmental plasticity in response to demographic variation in natureEcologyEcology","Ecology","90","8"
"1541","Cleveland",2010,"Cleveland-2010-Experimental drought.txt","Experimental drought in a tropical rain forest increases soil carbon dioxide losses to the atmosphereEcologyEcology","Ecology","91","8"
"1542","Carpenter",1994,"Carpenter-1994-Fitting Predator-Pre.txt","Fitting Predator-Prey Models to Time-Series with Observation ErrorsEcologyEcology","Ecology","75","5"
"1543","Curtis",1949,"Curtis-1949-A Study of Relic Wis.txt","A Study of Relic Wisconsin Prairies by the Species-Presence MethodEcologyEcology","Ecology","30","1"
"1544","Chiang",1950,"Chiang-1950-The Relation of Copu.txt","The Relation of Copulation to Fecundity and Population Growth in Drosophila-MelanogasterEcologyEcology","Ecology","31","2"
"1545","Cottingham",1994,"Cottingham-1994-Predictive Indexes o.txt","Predictive Indexes of Ecosystem Resilience in Models of North Temperate LakesEcologyEcology","Ecology","75","7"
"1546","Bortolotti",1986,"Bortolotti-1986-Evolution of Growth-.txt","Evolution of Growth-Rates in Eagles - Sibling Competition Vs Energy ConsiderationsEcologyEcology","Ecology","67","1"
"1547","Adler",2005,"Adler-2005-Ecological costs and.txt","Ecological costs and benefits of defenses in nectarEcologyEcology","Ecology","86","11"
"1548","Daniels",2000,"Daniels-2000-Between-year breedin.txt","Between-year breeding dispersal in Red-cockaded Woodpeckers: Multiple causes and estimated costEcologyEcology","Ecology","81","9"
"1550","Bailey",1949,"Bailey-1949-Temperature Tolerati.txt","Temperature Toleration of Gartersnakes in HibernationEcologyEcology","Ecology","30","2"
"1551","Chapin",1996,"Chapin-1996-Physiological and gr.txt","Physiological and growth responses of arctic plants to a field experiment simulating climatic changeEcologyEcology","Ecology","77","3"
"1552","Macarthu.RMacarthu.JMacarthu.DMacarthu.A",1973,"Macarthu.RMacarthu.JMacarthu.DMacarthu.A-1973-Effect of Island Are.txt","Effect of Island Area on Population-DensitiesEcologyEcology","Ecology","54","3"
"1553","Mercurio",1985,"Mercurio-1985-Predator-Mediated Mi.txt","Predator-Mediated Microhabitat Partitioning by 2 Species of Visually Cryptic, Intertidal LimpetsEcologyEcology","Ecology","66","5"
"1554","Bergeron",1990,"Bergeron-1990-Fire Regime in Red P.txt","Fire Regime in Red Pine Stands at the Northern Limit of the Species RangeEcologyEcology","Ecology","71","4"
"1555","Blair",1960,"Blair-1960-A Breeding Populatio.txt","A Breeding Population of the Mexican Toad (Bufo-Valliceps) in Relation to Its EnvironmentEcologyEcology","Ecology","41","1"
"1556","Brown",1973,"Brown-1973-Resource Utilization.txt","Resource Utilization and Coexistence of Seed Eating Desert Rodents in Sand Dune HabitatsEcologyEcology","Ecology","54","4"
"1557","Bookman",1982,"Bookman-1982-Root Interaction bet.txt","Root Interaction between Bromus-Tectorum and Poa-Pratensis - a 3-Dimensional AnalysisEcologyEcology","Ecology","63","3"
"1558","Belovsky",1990,"Belovsky-1990-Susceptibility to Pr.txt","Susceptibility to Predation for Different Grasshoppers - an Experimental-StudyEcologyEcology","Ecology","71","2"
"1559","Bedard",1976,"Bedard-1976-Coexistence, Coevolu.txt","Coexistence, Coevolution and Convergent Evolution in Seabird Communities - CommentEcologyEcology","Ecology","57","1"
"1560","Angilletta",2001,"Angilletta-2001-Thermal and physiolo.txt","Thermal and physiological constraints on energy assimilation in a widespread lizard (Sceloporus undulatus)EcologyEcology","Ecology","82","11"
"1561","Adler",1994,"Adler-1994-A General Test for I.txt","A General Test for Interaction ModificationEcologyEcology","Ecology","75","6"
"1562","Brown",1981,"Brown-1981-Mimicry in Hummingbi.txt","Mimicry in Hummingbird-Pollinated Plants - ReplyEcologyEcology","Ecology","62","2"
"1563","Clark",1958,"Clark-1958-Ecology of the Polyh.txt","Ecology of the Polyhedroses of Tent CaterpillarsEcologyEcology","Ecology","39","1"
"1564","Dahlgren",2000,"Dahlgren-2000-Ecological processes.txt","Ecological processes underlying ontogenetic habitat shifts in a coral reef fishEcologyEcology","Ecology","81","8"
"1565","Castro",1992,"Castro-1992-Ecology and Energeti.txt","Ecology and Energetics of Sanderlings Migrating to 4 LatitudesEcologyEcology","Ecology","73","3"
"1566","Lewis",1967,"Lewis-1967-Home Range Tendency.txt","Home Range Tendency of Largemouth Bass (Micropterus Salmoides)EcologyEcology","Ecology","48","6"
"1568","Hillebrand",2008,"Hillebrand-2008-Consequences of domi.txt","Consequences of dominance: A review of evenness effects on local and regional ecosystem processesEcologyEcology","Ecology","89","6"
"1569","Brandner",1990,"Brandner-1990-Balsam Fir on Isle R.txt","Balsam Fir on Isle Royale - Effects of Moose Herbivory and Population-DensityEcologyEcology","Ecology","71","1"
"1570","Allee",1939,"Allee-1939-An ecological auditE.txt","An ecological auditEcologyEcology","Ecology","20","3"
"1571","Dyksterhuis",1957,"Dyksterhuis-1957-The Savannah Concept.txt","The Savannah Concept and Its UseEcologyEcology","Ecology","38","3"
"1573","Dimond",1967,"Dimond-1967-Evidence That Drift.txt","Evidence That Drift of Stream Benthos Is Density RelatedEcologyEcology","Ecology","48","5"
"1574","Benoit",1998,"Benoit-1998-Testing the demograp.txt","Testing the demographic consequences of cannibalism in Tribolium confusumEcologyEcology","Ecology","79","8"
"1575","Davies",2005,"Davies-2005-Spatial heterogeneit.txt","Spatial heterogeneity explains the scale dependence of the native-exotic diversity relationshipEcologyEcology","Ecology","86","6"
"1576","Ehrlen",2000,"Ehrlen-2000-The dynamics of plan.txt","The dynamics of plant populations: Does the history of individuals matter?EcologyEcology","Ecology","81","6"
"1577","McGroddy",2008,"McGroddy-2008-Scaling of C _ N _ P.txt","Scaling of C : N : P stoichiometry in forests worldwide: implications of terrestrial Redfield-type ratios(vol 85, pg 2390, 2004)EcologyEcology","Ecology","89","3"
"1578","Goulson",1995,"Goulson-1995-Transmission Dynamic.txt","Transmission Dynamics of a Virus in a Stage-Structured Insect PopulationEcologyEcology","Ecology","76","2"
"1579","Beall",1940,"Beall-1940-The fit and signific.txt","The fit and significance of contagious distributions when applied to observations on larval insectsEcologyEcology","Ecology","21","4"
"1580","Murrill",1949,"Murrill-1949-Terrestrial Basidiom.txt","Terrestrial Basidiomycete Fungi of Florida High-Pine WoodsEcologyEcology","Ecology","30","3"
"1581","Ashman",2005,"Ashman-2005-The scent of a male_.txt","The scent of a male: The role of floral volatiles in pollination of a gender dimorphic plantEcologyEcology","Ecology","86","8"
"1582","Abramsky",1979,"Abramsky-1979-Competition among Sm.txt","Competition among Small Mammals in Experimentally Perturbed Areas of the Shortgrass PrairieEcologyEcology","Ecology","60","3"
"1583","Chesson",1978,"Chesson-1978-Measuring Preference.txt","Measuring Preference in Selective PredationEcologyEcology","Ecology","59","2"
"1584","Caswell",1982,"Caswell-1982-Optimal Life Histori.txt","Optimal Life Histories and the Maximization of Reproductive Value - a General Theorem for Complex Life-CyclesEcologyEcology","Ecology","63","5"
"1585","Brown",1986,"Brown-1986-Do Desert Rodent Pop.txt","Do Desert Rodent Populations Increase When Ants Are Removed - ReplyEcologyEcology","Ecology","67","5"
"1586","Bormann",1959,"Bormann-1959-The Occurrence of Na.txt","The Occurrence of Natural Root Grafting in Eastern White-Pine, Pinus-Strobus L and Its Ecological ImplicationsEcologyEcology","Ecology","40","4"
"1587","Brown",1973,"Brown-1973-Changes in Patterns.txt","Changes in Patterns of Seasonal Growth of Microtus-PennsylvanicusEcologyEcology","Ecology","54","5"
"1588","Curtis",1955,"Curtis-1955-A Prairie Continuum.txt","A Prairie Continuum in WisconsinEcologyEcology","Ecology","36","4"
"1589","Huntsman",1948,"Huntsman-1948-Method in Ecology -.txt","Method in Ecology - BiapocrisisEcologyEcology","Ecology","29","1"
"1590","Armstrong",1979,"Armstrong-1979-Prey Species Replace.txt","Prey Species Replacement Along a Gradient of Nutrient Enrichment - Graphical ApproachEcologyEcology","Ecology","60","1"
"1591","Fortunel",2009,"Fortunel-2009-Leaf traits capture.txt","Leaf traits capture the effects of land use changes and climate on litter decomposability of grasslands across EuropeEcologyEcology","Ecology","90","3"
"1592","Barker",1970,"Barker-1970-Interspecific Compet.txt","Interspecific Competition between Drosophila-Melanogaster and Drosophila-Simulans - Effects of Larval Density and Shortterm Adult Starvation on Fecundity, Egg Hatchability and Adult ViabilityEcologyEcology","Ecology","51","5"
"1593","Ackerman",1970,"Ackerman-1970-Dominance Relations.txt","Dominance Relations of Red and Grey SquirrelsEcologyEcology","Ecology","51","2"
